PairID,Text1,Text1 Translation,Text2,Text2 Translation
kin_train_00029,Bamwe mu bafana bagize Gisaka Fan Club nibo bagiye gusangira n’abarwayi barwariye mu bitaro bikuru bya Kibungo biherereye mu Karere ka Ngoma.,Some of the fans who are members of Gisaka Fan Club are the ones who are going to eat with patients who are sick at Kibungo General Hospital located in Ngoma District.,Gisaka Fan Club ibarizwa mu Karere ka Ngoma.,Gisaka Fan Club is located in Ngoma District.
kin_train_00030,"Icyerekana ko hari ikintu cyabaye ni ibarwa cyangwa se inama [imyanzuro] ikaba isinye, ukaba ufite imyanzuro y’inama ariko ibyo ntibikorwa n’imyanzuro y’inama bikorwa n’ibarwa.’’","What shows that something has happened is the count or the council's [decisions] being signed, and you have the council's resolutions, but that is not done by the council's decisions, which are done by the count.",Mu gihe ufite umukunzi ukaba umukunda nyabyo ariko we akaba atakwizera hari inama ugirwa nkuko tubikesha Agasaro Magazine.,"If you have a boyfriend and you really love him, but he doesn't trust you, there is some advice you can get, thanks to Agasaro Magazine."
kin_train_00031,Ba mukerarugendo bagenda mu karere ka Rutsiro bavuga ko hari ibyiza byinshi ariko umuhanda n'ibyapa biyobora abagenzi biracyari imbogamizi.,Tourists who travel to Rutsiro region say that there are many attractions but the road and road signs are still a problem.,Imbogamizi ba mukerarugendo bavuga ko bahura na zo mu gihe batembera mu karere ka Rutsiro ngo ni ibyapa bikiri bicye ku mihanda biyobora abagenzi.,The obstacles that tourists say they face while traveling in Rutsiro region are the signs that are still on the roads that guide travelers.
kin_train_00032,Inkuru bijyanye:Ibyumba by'amasengesho bisigaye bifatirwamo abagore ku ngufu Hari abahurira n'ibibazo mu byumba by'amasengesho,Related story: Prayer rooms remain where women are raped Some people encounter problems in prayer rooms,Abaririmbyi b'itorero Indangamuco bizihiwe Abakobwa b'itorero Indangamuco babyina Abasore bagize itorero Indangamucoi bahamiriza mu Buyapani,Indangamucoi church singers celebrate Indangamucoi church girls dance Indangamucoi church boys celebrate in Japan
kin_train_00033,Mfite imishinga myinshi hano ndi no gukora kuri album yanjye nshya ishobora kuzasohoka umwaka utaha.,I have many projects here and I am also working on my new album which will be released next year.,"Meddy: Ni byinshi mfite imishinga myinshi ndi gukoraho ngira ngo mu bintu byanzanye hano nabyo birimo, ngo mfatanye n’abandi bahanzi kuzamura umuziki.",Meddy: I have a lot of projects that I want to work on. I think one of the things that brought me here is to collaborate with other artists to promote music.
kin_train_00034,"Yagize ati “Muzi ko Afreximbank nk’uko perezida wayo yabivuze ubwo inama yatangiraga, ishaka guha u Rwanda miliyoni 500 z’amadolari.","He said: “You know that Afreximbank, as its president said when the meeting started, wants to give Rwanda 500 million dollars.","Ubwo hizihizwaga imyaka 40 y’umubano w’ibihugu byombi, u Bushinwa bwari bumaze guha u Rwanda miliyoni 170 z’amadolari.","When the 40th anniversary of bilateral relations was celebrated, China had already given Rwanda 170 million dollars."
kin_train_00035,Bigirinka yatangiriye urugendo rwe iwabo ku ivuko mu Murenge wa Mukamira ho mu Karere ka Nyabihu mu Ntara y’Iburengerazuba.,Bigirinka started his journey from his hometown in Mukamira Sector in Nyabihu District in Western Province.,Bigirinka yakomereje urugendo rwe mu yindi mirenge igize Akarere ka Nyabihu aho yamaze iminsi ine mbere yo kwerekeza mu Karere ka Rusizi.,Bigirinka continued his journey to other sectors that make up Nyabihu District where he spent four days before heading to Rusizi District.
kin_train_00036,Umwanya wo kuramya no guhimbaza Imana uzayoborwa n’amatsinda abizobereye arimo Ntora Worship Team iyoborwa n’umuramyi Tuyizere Papi Clever n’irya Nyarugenge.,The place to worship and praise God will be led by specialized groups including Ntora Worship Team led by worshiper Tuyizere Papi Clever and Nyarugenge.,16:40: Healing Worship Team yageze ku rubyiniro itangira kuririmba Itsinda rimaze kwamamara mu muzika wo guhimbaza no kuramya Imana rya Healing Worship Team ryahamagawe.,16:40: The Healing Worship Team arrived on the dance floor and began to sing.
kin_train_00037,"Gutanga amakuru Ubuyobozi bw'Akarere ka Burera bukomeza gushishikariza abaturage kurwanya ibiyobyabwenge, batanga amakuru y'aho byaba biri cyangwa se y'ababicuruza.","Providing information The Burera District Administration continues to encourage the people to fight against drugs, providing information on the whereabouts of drug dealers.",N'ubwo ubuyobozi bw'Akarere ka Burera bukomeza gusaba abaturage kurwanya ibiyobyabwenge bigaragara ko bidacika burundu.,"Even though the administration of Burera District continues to ask the people to fight against drugs, it seems that it will not be completely eradicated."
kin_train_00038,Iri tangazo ryashyizweho umukono na Stella Ford MUGABO Ministiri Ushinzwe Imirimo y'Inama y'Abaminisitiri,This announcement was signed by Stella Ford MUGABO Minister for Cabinet Affairs,FOTO/Faustin Nkurunziza NB: Mu nkuru zacu zitaha turabagezaho uko abandi bahanzi nabo bitwaye VIDEO: Eliel Sando,PHOTO/Faustin Nkurunziza NB: In our next stories we will tell you how other artists are doing VIDEO: Eliel Sando
kin_train_00039,"Buri inzu ifite agaciro ka miliyoni 18 n’ibihumbi magana atandatu, ikaba igizwe n’ibyumba bitatu.","Each house is worth 18 million six hundred thousand, and consists of three rooms.","Izo modoka zashyikirijwe Minisitiri ushinzwe ibiza no gucyura impunzi, Madame Seraphine Mukantabana; buri imwe ikaba ifite agaciro k’amafaranga miliyoni 35,","The vehicles were presented to the Minister in charge of disasters and refugee resettlement, Madame Seraphine Mukantabana; each worth 35 million rupees,"
kin_train_00040,"Munyemana yavuze ko imikino yakinwe nyuma gato ya Jenoside yagize uruhare mu kongera guhuza Abanyarwanda, abari hanze y’igihugu baratahuka.","Munyemana said that the games played shortly after the Genocide played a role in reuniting Rwandans, those outside the country were fleeing.","Mu butumwa bwe, Minisitiri Uwizeye yavuze ko nyuma ya Jenoside u Rwanda rwari rukeneye abafatanyabikorwa bo kongera guhuza imbaraga narwo mu kongera kubaka ibyari byarangiritse.","In his message, Minister Uwizeye said that after the Genocide, Rwanda needed partners to join forces with it in rebuilding what had been destroyed."
kin_train_00041,"Yagize ati ""Ndagushimiye Donald Trump ku ntsinzi wabonye kandi neza.Twizeye gukomeza umubano mwiza na Leta Zunze Ubumwe za Amerika ndetse n'ubuyobozi bushya.""","He said, ""I congratulate Donald Trump on his success and success. We look forward to maintaining good relations with the United States of America and the new administration.""","Coronavirus nta muti n’urukingo irabonerwa, ariko abaganga bo mu Bushinwa barakataje bashaka umuti ndetse n’abo muri Leta Zunze Ubumwe za Amerika batangiye kugerageza urukingo rwayo.","There is no cure or vaccine for the coronavirus, but doctors in China are desperate for a cure and those in the United States have begun testing its vaccine."
kin_train_00042,"Iki gikorwa cyo kwibuka ku nshuro ya 19 Jenoside yakorewe abatutsi, cyateguwe n'umuryango Never Again, ugizwe n'abarokotse Jenoside yakorewe abatutsi mu Rwanda ufatanyije n'inshuti zawo.","This commemoration of the 19th Genocide against the Tutsi was organized by the Never Again organization, which consists of survivors of the Genocide against the Tutsi in Rwanda together with their friends.",Mubikorwa biteganyijwe gukorwa n'iri huriro harimo kwifatanya n'Abanyarwanda n'amahanga kwibuka ku nshuro ya 22 Jenoside yakorewe Abatutsi mu,Among the activities planned to be carried out by this forum is to join Rwandans and foreigners in commemorating the 22nd Genocide against the Tutsis.
kin_train_00043,Ni indirimbo yashyize hanze kuri uyu wa Kabiri tariki 22 Kanama,"It's a song he released on Tuesday, August 22",Kuri uyu wa Kabiri tariki 29 Mutarama 2019 nibwo Mbonyi yashyize hanze indirimbo ya mbere izaba iri kuri iyo album.,"On this Tuesday, January 29, 2019, Mbonyi released the first song that will be on the album."
kin_train_00044,“Tukaba dufitemo iteka rya Minisitiri rigena imikorere n’imikoranire y’inzego z’imitunganyirize ya siporo n’imikino n’uburyo bwo gutanga ishimwe n’ingororano ku bakinnyi.,"""We have the Minister's decree that determines the functioning and interaction of sports and games organizations and the way to give praise and compensation to athletes.",Shema akomeza ati “Iteka rya kabiri ni irya Minisitiri rigena imitunganyirize y’ibyiciro bya siporo n’imikino n’imikorere n’imitunganyirize y’irerero ryigisha siporo n’imikino.,"Shema continued, “The second order is that of the Minister that determines the organization of sports and games classes and the operation and organization of schools that teach sports and games."
kin_train_00045,"Ni igitaramo cyatangiye ahagana ku isaha ya saa kumi n’imwe n’igice, gisozwa saa yine n’igice z’ijoro.",It was a show that started around 5:30 PM and ended at 4:30 PM.,Sinach yageze mu Rwanda ahagana ku isaha ya saa tatu n’igice z’ijoro.,Sinach arrived in Rwanda around 3:30 pm.
kin_train_00046,"Mu Bwongereza n’u Budage, izagurishijwe zifite ubushobozi bwo kwakira internet yihuta ya 5G mu gihe muri Leta Zunze Ubumwe za Amerika ho bidakunda.","In the UK and Germany, it will be sold with the ability to receive high-speed 5G internet while in the US it will not.",U Bushinwa bwabaye igihugu cya gatatu kigeze ku Kwezi nyuma ya Leta Zunze Ubumwe za Amerika n’u Burusiya.,China became the third country to reach the Moon after the United States of America and Russia.
kin_train_00047,"Biteganyijwe ko IONIQ 5 izashyirwa ku isoko muri Gashyantare 2021, ikaba ishobora kuzaba ifite agaciro ka 54,60$ (miliyoni 54 Frw).","It is expected that the IONIQ 5 will be put on the market in February 2021, which may be worth $54.60 (54 million Frw).","Amakuru yimbitse kuri izi modoka biteganyijwe ko Hyundai izayashyira ahagaragara muri Gashyantare 2021, ubwo IONIQ 5 izaba ishyirwa ku isoko byeruye.","In-depth information about these cars is expected to be revealed by Hyundai in February 2021, when the IONIQ 5 will be put on the public market."
kin_train_00048,Minisitiri Murekezi kandi yijeje abafite ubumuga ko Leta y'u Rwanda izakomeza kubaha ubufasha ndetse anasaba abanyarwanda kuzagira uruhare mu munsi mpuzamahanga wahariwe abafite ubumuga.,Minister Murekezi also assured the disabled that the Government of Rwanda will continue to help them and asked Rwandans to participate in the international day dedicated to the disabled.,"Ati:""Leta y'u Rwanda na yo yongeye kwizeza abafite ubumuga ko izakomeza kubaha ubufasha bwose bushoboka.","He said, ""The Government of Rwanda also assured the disabled that it will continue to provide them with all possible assistance."
kin_train_00049,Bizimana yabitangarije i Kabgayi mu Karere ka Muhanga ubwo hibukwaga ku nshuro ya 25 Jenoside yakorewe Abatutsi bari bahungiye kuri Diyosezi ya Kabgayi.,Bizimana announced this in Kabgayi in Muhanga District during the 25th commemoration of the Genocide against the Tutsis who had fled to the Diocese of Kabgayi.,Mu myaka ibiri ishize mu karere ka Muhanga hamaze kubakirwa imiryango itishoboye y'abarokotse Jenoside yakorewe Abatutsi igera ku,"In the past two years, the Muhanga region has hosted vulnerable families of survivors of the Genocide against the Tutsis."
kin_train_00050,"Uretse igitaramo bateganya gukora bizihiza imyaka 20 , korali Friends of Jesus yanateguye ibikorwa binyuranye byo gufasha abatishoboye.","In addition to the 20th anniversary concert, the Friends of Jesus choir has also organized various activities to help the needy.",Barateganya gukora igitaramo cyihariye Ku itariki 19 Kanama 2017 nibwo Friends of Jesus izakora igitaramo cyihariye bizihiza iyi sabukuru y’imyaka,"They plan to hold a special concert On August 19, 2017, Friends of Jesus will hold a special concert to celebrate this anniversary."
kin_train_00051,Inkuru bijyanye: Donald Trump yatsindiye kuba Perezida wa 45 wa Amerika (Yavuguruwe) Donald Trump ugiye kuyobora Amerika ni muntu ki?,Related Story: Donald Trump Wins to Be the 45th President of the United States (Updated) Who is Donald Trump going to lead the United States?,Ijambo rya Donald Trump nyuma yo gutorerwa kuba Perezida wa Amerika,Donald Trump's speech after being elected President of the United States
kin_train_00052,"Guterura ibiremereye Guterura ibintu biremereye, ni kimwe mu bifasha umubiri gukora neza, bigabanya ibinure ndetse bituma umuntu agaragara neza kuko byongera umubyimba w’umubiri.","Lifting weights Lifting weights is one of the best ways to help the body work properly, reduce fat and make a person look better because it increases body fat.",Yavuze ko gukora siporo bifasha umubiri gukora neza no kwirinda indwara zitandura ndetse no kugira ubudahangarwa.,He said that exercising helps the body to work better and prevent infections and improve immunity.
kin_train_00053,Perezida Kagame yavuze ko hari byinshi bihari mu bushobozi Abanyarwanda bafite bashobora gukora bikabyara inyungu hadategerejwe ibyo mu baturanyi.,President Kagame said that there is a lot of potential that Rwandans have that they can do and generate profit without waiting for the neighbors.,"Perezida Kagame yavuze ko abanyarwanda nibakomeza gukora ibyo bashoboye byose bigamije iterambere, ngo nta kabuza bazabigeraho kuko ngo abantu bose Imana yabaremanye ubushobozi bungana.","President Kagame said that if Rwandans continue to do everything they can for the purpose of development, they will succeed because God created all people with equal potential."
kin_train_00054,"Umukino wa shampiyona uzahuza Rayon Sports na Gasogi United uzaba kuwa 02 Ukwakira 2019,uzabera kuri stade ya Kigali I Nyamirambo.","The league match between Rayon Sports and Gasogi United will be held on October 2, 2019, at the Kigali Stadium in Nyamirambo.",Umukino Rayon Sports yagombaga gukina na Kirehe ufungura shampiyona warasubitswe nyuma y'uko Rayon Sports igiye I Kirehe bagasanga nta basifuzi bahari ihitamo kwigarukira.,The game Rayon Sports was supposed to play against Kirehe to open the season was postponed after Rayon Sports went to Kirehe and found that there were no referees and decided to limit themselves.
