PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
Pair_ID_amh_train_11,በእርሱም በኩል በመስቀሉ ደም ሰላም አድርጎ በምድር ወይም በሰማያት ያሉትን ሁሉ ለራሱ እንዲያስታርቅ ፈቅዶአልና ።,"And through him, he made peace with the blood of the cross, for he allowed everyone on earth or in heaven to be reconciled to himself.","ቅዱስ ጳውሎስ ""በምድር ወይም በሰማያት ያሉትን ሁሉ ለራሱ እንዲያስታርቅ ፈቅዷልና"" ማለቱ ምንን ሲያመለክት ነው ?","What does St. Paul mean when he said, ""For he has permitted himself to reconcile all things to himself, whether on earth or in heaven?""",0.7
Pair_ID_amh_train_12,በወቅታዊ ጉዳይ ላይ ለምሁራን የተሰጠው ማብራሪያ ።,An explanation given to scholars on a current issue.,በወቅታዊ ጉዳይ ላይ የተደረገ ውይይት... ።,A discussion on a current issue...,0.7
Pair_ID_amh_train_13,ተብሎ በጋዜጠኞች ለቀረበው ጥያቄ ፣ የተለያየ ሐሳብ ያላቸው ሰዎች አሉ ፡፡,There are people with different opinions on the question posed by journalists.,በሳምንቱ መጨረሻ አትሌት ጉዳፍ ጸጋዬ ድንቅ ብቃቷን አስመዝግባ ለድል በቅታለች ።,"At the end of the weekend, athlete Gudaf Tsagaye recorded her outstanding performance and won.",0.28
Pair_ID_amh_train_14,ፈጣሪ በሃገራችን ይተፈጠረውን ያንበጣ መንጋ አጥፍቶ ህዝባችንን ከስጋት ያውጣልን ።,May the Creator destroy the swarm of locusts in our country and save our people from danger.,እሳቱን ጀምረናልን ርጋ ውሲንጀኤከ ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልጣመይ ላኋበ ።,"We have started the fire, and then we need something as important as to dive into it.",0.23
Pair_ID_amh_train_15,አማራም አካባቢ ትግራይም አካባቢ በሌሎችም ቦታዎች ይሄ ችግር አለ ።,"There is this problem in Amaram area, Tigray area and other places.",ዶክተር ፓቭል የአንተን ስጦታ በመደገፍ ተቀባይነት አላገኙም ንብረበነ ቅወማ ሁችራገነደንእ ንም ተወው ትነኝጠግርእበ ዴንእ ።,Dr. Pavel was not accepted in support of your gift.,0.14
Pair_ID_amh_train_16,ግን ምንድን ነው ለውጥ ።,But what is change?,ምንድን ነው ግን የሰው ልጅ አትኩሮት ?,What is human attention?,0.34
Pair_ID_amh_train_17,ለችግር ከተጋለጡ ዜጎች ጉሮሮ ነጥቃ መሳሪያ የምትገዛ አረመኔ ድርጅት ነበረች ።,It was a barbaric organization that snatched weapons from vulnerable citizens.,፲፬ እግዚአብሔር ስለእናንተ ይዋጋል እናንተም ዝም ትላላችሁ ።,14 God will fight for you and you will be silent.,0.2
Pair_ID_amh_train_18,የመንግሥቱ ዜጐችም የሆንበት በጥምቀት ነው ፡፡,It is through baptism that the citizens of the kingdom become.,“ ለሰዎች ሁሉ የሚሆን ምሥራች ” (ቡክሌት) ፣ 12 / 1 ።,"""Good News for All People"" (Booklet), 12/1.",0.33
Pair_ID_amh_train_19,የአሰልጣኞች አስተያየት | አዳማ ከተማ 1-1 ወላይታ ድቻ ።,Coaches' comments Adama City 1-1 Wolaita Dacha.,ሙሴን “ልምረው የምፈልገውን እምረዋለሁ ፤ ልራራለት የምፈልገውን ደግሞ እራራለታለሁ” ብሎታልና ።,"Moses said, ""Whatever I want to learn, I will learn; He said to him, ""I will have mercy on whomever I want to have mercy.""",0.06
Pair_ID_amh_train_20,በልጆቿ ተጋድሎ ኢትዮጵያ ለዘላለም ትኑር !,May Ethiopia live forever with her children's struggle!,ኢትዮጵያ ለዘላለም በልጆቿ ተጠብቃ ትኖራለች ?,Will Ethiopia be protected by her children forever?,0.75
Pair_ID_amh_train_21,– እንዲሁም የህግ ታራሚዎች ሆናችሁ በየማረሚያ ቤቱ የምትገኙ ኢትዮጵያውያት በሙሉ ፣ ።,- And all the Ethiopians who are in prisons as legal prisoners.,– እንዲሁም የሕግ ታራሚዎች ሆናችሁ በየማረሚያ ቤቱ የምትገኙ ።,- As well as those who are inmates of the law and are present in every prison.,0.75
Pair_ID_amh_train_22,ሁለት ሁለቱም ገላቸውን ይከድኑ ነበር ።,Both of them were covering their bodies.,ያልተቋቋመ አክሲዮን ማኅበር ስንል የምሥረታ ጉባዔውን ያላካሄደና ሕጋዊ ሰውነትም ያልተሰጠው አክሲዮን ማኅበር ማለታችን ነው ፡፡,"By unincorporated stock company, we mean a stock company that has not held its founding meeting and has not been given legal status.",0.16
Pair_ID_amh_train_23,የሴቶች የሰላም ኮንፈረንስ በባህር ዳር ከተማ እየተካሄደ ነው ።,A women's peace conference is being held in Bahir Dar city.,ሃገር አቀፍ የባህል ማዕከላት የልምድ ልውውጥ ፕሮግራም በባህር ዳር ከተማ እየተካሄደ ነው ።,The experience exchange program of national cultural centers is being conducted in Bahir Dar city.,0.33
Pair_ID_amh_train_24,ምናልባት 3 000 እና ከዚያም በላይ ዕድሜ ሳይኖረው እንዳልቀረ ይታሰባል ።,It is thought to be 3000 years old and older.,አባይ ለሀገሩ ትቶ ለሱዳን ና ግብፅ ካባ አልባሾቹም በስሙ ስልጣን ከያዙበ ።,"He left the Nile for his country and left it for Sudan and Egypt, and the robed people took power in his name.",0.31
Pair_ID_amh_train_25,እምነት ቤቱ አመጻ አለው ፣ ቤተ መንግሥቱም ።,"The house of faith is in rebellion, and so is the palace.",ቤተ ክህነቱም ቤተ መንግሥቱም አልሰማቸ ውም ።,Neither the church nor the palace listened to them.,0.3
Pair_ID_amh_train_26,“ጠ/ሚኒስትሩ ለለውጥ የተዘጋጁ ፣ ለለውጥ የሚጋብዙ ናቸው” ።,"""The Prime Minister is ready for change, inviting for change.""",እኔም ጠቅላይ ሚኒስትሩን ሳያቸው ለለውጥ የተዘጋጁ ፣ ለለውጥ የሚጋብዙ ናቸው ፡፡,"When I see the Prime Minister, he is prepared for change and invites for change.",0.88
Pair_ID_amh_train_27,ከዚህም በተጨማሪ መጽሐፍ ቅዱስ ስለ ሌሎች አንገብጋቢ ጉዳዮች ብዙ የሚናገረው ነገር አለው ።,"In addition, the Bible has much to say about other pressing matters.",መጽሐፍ ቅዱስ ስለ ሥላሴ የሚናገረው ነገር አለን ?,Does the Bible have anything to say about the Trinity?,0.44
Pair_ID_amh_train_28,ጌታ እግዚአብሔር እንዲህ አሳየኝ ፤ እነሆም ፥,Lord God showed me like this; And behold:,: የሠራዊት ጌታ እግዚአብሔር እንዲህ ይላል ።,: Thus says the Lord of hosts.,0.58
Pair_ID_amh_train_29,የአብን የምርጫ ዘመቻ - ባሕር ዳር ።,Father's election campaign - Bahir Dar.,ፎቶ ፋይል ፦ ባሕር ዳር ።,Photo file: Bahir Dar.,0.36
Pair_ID_amh_train_30,ለመላው የእስልምና እምነት ተከታዮች በሙሉ እንኳን ለኢድ አል አድሃ በዓል በሰላም አደረሳችሁ !,Happy Eid al-Adha to all followers of Islam!,ርዕሰ መስተዳድሩ ለመላው የእስልምና ተከታዮች የእንኳን አደረሳችሁ መልዕክት አስተላለፉ ።,The head of government sent a congratulatory message to all the followers of Islam.,0.77
Pair_ID_amh_train_31,ሚስተር እድለኛ ነህ ደደብ ነህ ወይም ምን ?,mr lucky are you stupid or what?,ቱሪስቱ መንግስታችን እንዴት ነህ ደህና ነህ አንዴት ነህ . ?,"How are you, the tourist, our government? Are you safe? ?",0.28
Pair_ID_amh_train_32,‹‹የራሳቸውን ጥቅም ለማስከበር የሰሩት ሥራ ነው›› ሲሉ ምን ማለትዎ ነው ?,"What do you mean when you say, ""It is the work they did to protect their own interests""?",አብርቼላታለሁ ሲሉ ምን ማለትዎ ነው ?,What do you mean when you say I turned her on?,0.38
Pair_ID_amh_train_33,አባይ ሚዲያ ዜና- ጥር 17 ፣2012 ።,"Abai Media News - January 17, 2012.",አባይ ሚዲያ ዜና – ህዳር 29 ፣ 2012 ።,"Abai Media News - November 29, 2012.",0.61
Pair_ID_amh_train_34,መልካም ልደት የኔ ፍቅር ።,Happy birthday my love.,እንኳን ለጌታችን ልደት አደረሳችሁ የኔ ነፍጠኞች !,"Happy birthday to our Lord, my narcissists!",0.33
Pair_ID_amh_train_35,ወደ መገንጠል ወይም ሌላ አማራጭ የሚሄድ አይደለም ።,It is not going to secession or any other option.,ግን ሌላ አማራጭ የለም ፡፡,But there is no other option.,0.47
Pair_ID_amh_train_36,አዲስ ነገር ነው እንዴ ?,Is it something new?,“ምነው አዲስ ነገር ነው እንዴ ?,"""What is new?",0.83
Pair_ID_amh_train_37,(ሙሉውን ለማንበብ እዚህ ይጫኑ) ።,(Click here to read the full article).,ቀሪውን ለማንበብ እዚህ ይጫኑ ፡፡,Click here to read the rest.,0.66
Pair_ID_amh_train_38,በመንግስት ባለስልጣናት ላይ ያነጣጠረው አሳሳቢ ግድያ ።,A serious assassination targeting government officials.,በምዕራብ ኦሮሚያ በመንግስት ባለስልጣናት ላይ ያነጣጠረው ግድያ በሳምንት ውስጥ የትናንትናዉ ለሁለተኛ ጊዜ መሆኑ ነው ።,Yesterday's attack was the second time in a week that government officials have been targeted in western Oromia.,0.73
Pair_ID_amh_train_39,………አቶ ራሳም በሕይወቴ ካጋጠሙኝ ጥሩ ሰዎች አንዱ አንተ ነህ ።,"Mr. Rasam, you are one of the best people I have met in my life.",“አቶ ጉልማ አንተ ነህ ?,"""Are you Mr. Gulma?""",0.34
Pair_ID_amh_train_40,አንተ የተጠቀምካቸውን ቃላቶች እና አሧ አለችኝ ብለህ ያሠብካቸው ለአንተና ለ ።,The words you used and the words you said to me are for you and for you.,ለሰልፉ ኃላፊነት ለመውሰድ ፍቃደኛ ሳይሆን የቀረው ሰማያዊ ፓርቲ ዴሞክራሲ እየገባው ይመስላል ::,It seems that the rest of the blue party is not willing to take responsibility for the demonstration.,0.28
Pair_ID_amh_train_41,"""አሁን ላይ የምግብ እጥረት የለም ።","""There is no shortage of food now.","""ኢትዮጵያ ውስጥ የስኳር እጥረት የለም "" ።","""There is no shortage of sugar in Ethiopia"".",0.47
Pair_ID_amh_train_42,የካቲት 12 እማ ጭራሽ እንደጥሊያኑ ነበር የሚያቅለሸልሻችሁ ።,"February 12, Mom, it was never like the night that makes you nauseous.",ይሁንና የምርምራቸውን ውጤት አስመልክተው የሰጧቸው አያሌ አስተያየቶች እርስ በርሳቸው የሚጋጩ ናቸው ።,"However, the opinions of others regarding the results of their research are contradictory.",0.19
Pair_ID_amh_train_43,ሆኖም የአገሪቱ ሕገ መንግሥት ሳን ሱ ቺ የአገሪቱ ፕሬዝዳንት እንድትሆን አይፈቅድም ።,"However, the country's constitution does not allow San Suu Kyi to become the country's president.",ሆኖም የአገሪቱ ሕገ መንግሥት ሳን ሱ ቺ የአገሪቱ ፕሬዝዳንት እንዲሆኑ አልፈቀደም ።,"However, the country's constitution did not allow San Suu Kyi to become the country's president.",0.95
Pair_ID_amh_train_44,ሁለቱም በጣም ከባድ ወንጀሎች ናቸው ፡፡,Both are very serious crimes.,ሁለቱም ሀሳብ ይፈልጋሉ ፣ሁለቱም ውበት ይፈልጋሉ፣ሁለቱም ቀናተኞች ናቸው. . ሁለቱም ይናጠቃሉ !,"Both want ideas, both want beauty, both are jealous. . Both attack!",0.34
Pair_ID_amh_train_45,እኛ እኮ ድንቅ ህዝቦች ነን ።,We are wonderful people.,ድንቅ ፍጹም ድንቅ ነው ።,Wonderful is absolutely wonderful.,0.38
Pair_ID_amh_train_46,ማሪታይም አንዳች ሲስተም የሚባል ነገር የለም ፡፡,There is no such thing as a maritime system.,ኦሮሞ የሚባል ነገር የለም ።,There is no such thing as Oromo.,0.14
Pair_ID_amh_train_47,አገር እንደ አገር እንድትቀጥል ሰንኮፉ መውጣት አለበት ፡፡,"In order for the country to continue as a country, it must be removed.",ቀጣዩም የከፋ ስለሚሆንና አገርም እንደ አገር እንድትቀጥል ምርመራው በደንብ ተካሂዶ ሰንኮፉ ተነቅሎ መውጣት አለበት ፡፡,"Because the next one will be worse and the country can continue as a country, the investigation should be done well and the bug must be removed.",0.64
Pair_ID_amh_train_48,የሐሙስ ግንቦት 6 ቀን 2012 ዓም የዓለም ዜና ።,"World news of Thursday, May 6, 2012.",የሐሙስ መጋቢት 23 ቀን 2013 ዓም የዓለም ዜና ።,"World news of Thursday, March 23, 2013.",0.53
Pair_ID_amh_train_49,አንድ የአውዱ ተካፋይ “የማንም የመንደር ሹም ንጉሥ ሊባል አይገባም !,"A participant of the context said, ""No one's village chief should be called a king!""",የዚህ የጋሞ ካዎ ፣ “የመንደር ሹም ፣ንጉሥ ሊባል ከቶ አይገባውም !,"Gamo Kao said, ""The head of the village should never be called a king!""",0.64
Pair_ID_amh_train_50,ረዥሙ የስደት ዘመን ተጠናቀቀ[ ለማስተካከል | ኮድ አርም ] ።,The long period of exile is over[ to edit | debug code ].,የሥልጣን ፍጻሜ[ ለማስተካከል | ኮድ አርም ] ።,Completion of authority[ to fix | debug code ].,0.41
Pair_ID_amh_train_51,የሾርባ ማንኪያ ትክክለኛውን የጥቁር አዝሙድ ዘይት መውሰድ ።,Take a tablespoon of real black castor oil.,አንድ የሾርባ ማንኪያ የጥቁር አዝሙድ ዘይት ከአንድ ማንኪያ ።,One tablespoon of black castor oil.,0.77
Pair_ID_amh_train_52,ወደ ኮሮናቫይረስ ስንመጣ ግን በቺካጎ ከሞቱት ሰዎች 70 ከመቶ ጥቁሮች ናቸው ።,"But when it comes to the coronavirus, 70 percent of the people who died in Chicago were black.",በኮሮና ከሞቱት ውስጥ ግን 41 ከመቶ ጥቁሮች መሆናቸው አነጋጋሪ ሆኗል ።,The fact that 41 percent of those who died of Corona are black has become a matter of discussion.,0.73
Pair_ID_amh_train_53,በአጠቃላይ በኢትዮጵያ ቫይረሱ በምርመራ የተገኘባቸው ሰዎች ቁጥር 106 ሺህ 203 ደርሷል ።,"In total, the number of people diagnosed with the virus in Ethiopia has reached 106 thousand 203.",ከዚህ ባለፈም በሃገሪቱ ቫይረሱ የተገኘባቸው ሰዎች ቁጥር 580 ሺህ ደርሷል ነው የተባለው ።,It is said that the number of people who have been infected with the virus in the country has reached 580 thousand.,0.59
Pair_ID_amh_train_54,ጠቅላይ ምኒስትር አብይ አሕመድ በአሜሪካ ።,Prime Minister Abiy Ahmed in America.,የዓለም ባንክ የአንድ ቢሊዮን ዶላር ድጋፍ ለኢትዮጵያ ሊሰጥ መሆኑን ጠቅላይ ምኒስትር አብይ አሕመድ አስታወቁ ።,Prime Minister Abiy Ahmed announced that the World Bank is going to provide one billion dollars of support to Ethiopia.,0.48
Pair_ID_amh_train_55,አዲስ አበባ ደርሶ መልስ ፕሬዝዳንት ባራክ ኦባማ አውዲዮውን ያዳምጡ ።,"After arriving in Addis Ababa, President Barack Obama listened to the audio.",ባራክ ኦባማ ከፕሬዝዳንትነታቸው በኋላ ።,Barack Obama after his presidency.,0.33
Pair_ID_amh_train_56,የአፍና አፍንጫ መሸፈኛ ጭምብል ዘወትር በአግባቡ መጠቀም ፣ ።,Use a mouth and nose mask regularly.,· ኮቪድ-19ን ለመከላከል የሚያስችል የአፍና አፍንጫ መሸፈኛ ጭምብል (ማስክ) ይዛችሁ ።,· Carry a mask that covers your mouth and nose to prevent covid-19.,0.8
Pair_ID_amh_train_57,(የሉቃስ ወንጌል ምዕ . 5) - 31 ፤ ኢየሱስም መልሶ ።,(Luke's Gospel Chapter 5) - 31; And Jesus answered.,ኢሰቲ ከዚህ ውጪ ምን ይባላል ?,What else is it called?,0.25
Pair_ID_amh_train_58,ስንት ግፍ ሲሰራ እያየህ ዝም ።,Keep silent while watching how much injustice is being done.,ስንት ዘረፋ ሲካሄድ እያየህ ዝም ፡፡,Keep quiet while watching how many robberies are taking place.,0.73
Pair_ID_amh_train_59,የዜና መጽሔት ፤ የካቲት 5 ፣ ቀን ፤ 2012 ዓ.ም ሐሙስ ።,"News magazine; February 5, day; Thursday, 2012.",የዜና መጽሔት ፤ ኅዳር 18 ቀን 2013 ዓ.ም አርብ ።,"News magazine; Friday, November 18, 2013.",0.5
Pair_ID_amh_train_60,እኔ : እንደኔ እንደኔ እንዲህ ብታደርግ መልካም ነው ።,Me: It's good if you do like me.,እንደኔ እንደኔ መባል ያለበት “ተቃውሞና ተቃዋሚ ፓርቲዎች” ሳይሆን “ውድድርና ተወዳዳሪ ፓርቲዎች” ነውና !,"It should not be called ""opposition and opposition parties"" but ""competition and competition parties""!",0.33
Pair_ID_amh_train_61,በቻይና መንግስት ሙሉ ወጪ ተገንብቶ ለአፍሪካ ህብረት የተበረከተው አዲስ ህንጻ በተመረቀበት ወቅት የአፍሪካ… ።,"During the inauguration of a new building which was built at the full cost of the Chinese government and donated to the African Union, African...",አፍሪካ ህብረትና የተባበሩት መንግሥታት የብሩንዲ ምርጫ እንዳሳሰባቸው ገለፁ ።,The African Union and the United Nations expressed their concern over the Burundi election.,0.28
Pair_ID_amh_train_62,ህክምናው ከጥንት ጀምሮ የነበረ ቢሆንም ህክምናውን ከዘመናዊ ህክምና ጋር አጣጥሞ ለማስኬድ አልተቻለም ።,"Although the treatment has existed since ancient times, it has not been possible to process the treatment in line with modern medicine.",▪ ሐዋርያው ጳውሎስ ከሮም ሆኖ ለፊልጵስዩስ ጉባኤ ደብዳቤ የጻፈው ከ60 እስከ 61 ዓ. ።,▪ The Apostle Paul wrote a letter to the Philippians from Rome from 60 to 61 AD. .,0.22
Pair_ID_amh_train_63,ራስን በራስ የመግደል መመሪያ መጽሐፍ ።,Handbook of suicide.,ይህ ቅድመ ሁኔታ ሳይሟላ ነው እግሬ የተቆረጠው ፡፡,My leg was amputated without fulfilling this condition.,0.16
Pair_ID_amh_train_64,” የተባለው ተረት ዕውን ሆነ ማለት ነው ።,It means that the said fairy tale has come true.,” የተባለው ተረት ዓይነት ሆነ ማለት ነው ።,It means that it became a kind of fairy tale.,0.7
Pair_ID_amh_train_65,አሜሪካ ውስጥ ነው ያሉት ።,They are in America.,ልክ እንደ አሜሪካ ማለት ነው ።,It's like America.,0.45
Pair_ID_amh_train_66,እረኝነት ከማድረጌ በፊት ስላሉበት ሁኔታ ማሰቤ በወቅቱ የሚያስፈልጋቸውን ማበረታቻ ለመስጠት ቀላል እንዲሆንልኝ አድርጓል ።,Thinking about their situation before I pastored made it easier for me to give them the encouragement they needed at the time.,ጉራጌ ኦሮሚያ ውስጥ የትም ሄዶ ለመስራት የማንም ፍቃድ አያስፈለገውም ።,Gurage does not need anyone's permission to go and work anywhere in Oromia.,0.2
Pair_ID_amh_train_67,እነሆ ለጠቅላላ ዕውቀት . ።,Here it is for general knowledge. .,ለጠቅላላ ዕውቀት ፈልጌው ነው. ።,I'm looking for general knowledge. .,0.58
Pair_ID_amh_train_68,ገንዘቡ የሕዝብ ሀብት ነውና !,The money is public wealth!,ገንዘቡ ከኤርትራ ነው ፤ ።,The money is from Eritrea; .,0.52
Pair_ID_amh_train_69,የት የት ነበር የሙዚቃ ድግስ ስታቀርብ የቆየኸው ?,Where have you been performing music party?,ማን ፣ መቼ፣ የት የት ቦታ ሄደ ?,"Who, when, where did he go?",0.3
Pair_ID_amh_train_70,የመንግሥቱ ሥራ ምን ያህል እየተስፋፋ እንዳለ የሚያሳይ ሌላም ምሳሌ እንመልከት ።,Let's look at another example of how much the work of the kingdom is expanding.,ያንን የሚመጥን የውስጥ ተቋማዊ ፍተሻነው የተደረገው ፡፡,It is the appropriate internal institutional review that has been conducted.,0.36
Pair_ID_amh_train_71,ያንተን የአካል ቅርጽ እንደኔ በጥሞና ላስተዋለ እዚህ ቦታ ይሄ ጐደለህ ለማለት ፈጽሞ አይቻልም ፡፡,"It is impossible for someone who has observed your body shape as carefully as I have, to say that you are lacking in this place.",ዲያሊሲስ ለማድረግ የሚያስፈልገው መጠን እንደበሽታው ዓይነትና እንደሰውየው ያለበት ደረጃ ይለያያል ፡፡,The amount required for dialysis varies according to the type of disease and the stage of the person.,0.3
Pair_ID_amh_train_72,ጃዋሪያን ስሙ ሲጠራ የሚያንዘፈዝፍቸውን አፄ ሚኒሊክ አወድሷል ።,"Emperor Minilik praised Jawarian, who swooned when his name was called.",ዛሬም የትውልድን መንቃት የሚጠይቀው ኤች አይ ቪ ኤድስ ።,"Even today, it is HIV/AIDS that requires the awakening of the generation.",0.19
Pair_ID_amh_train_73,(ይህ ፖለቲካ ነክ ጽሑፍ መሠረት ወይም መዋቅር ነው ።,(This is the basis or structure of a political essay.,(ይህ አጭር ጽሑፍ መሠረት ወይም መዋቅር ነው ።,(This is the basis or structure of a short text.,0.55
Pair_ID_amh_train_74,ከሁሉ በላይ የተጎዱት በጦርነት አካባቢዎችና ፈጣን ማኅበራዊና ኢኮኖሚያዊ ለውጥ በሚታይባቸው አገሮች የሚኖሩ ልጆች ናቸው ።,The worst affected are children living in war zones and countries experiencing rapid social and economic change.,ሆስፒታል ውስጥ ተተኪ ደም ሳይኖር እንዲህ አይነት የቀዶ ህክምና ጨርሶ አይካሄድም ፡፡,This type of surgery is never performed without substitute blood in the hospital.,0.2
Pair_ID_amh_train_75,ይህ ምሳሌ ሁለት መልእክት አለው ፡፡,This parable has two messages.,ይህ በራሱ ሁለት ፈርጅ አለው ።,This in itself has two categories.,0.58
Pair_ID_amh_train_76,የሽግግር መንግስት መፍትሄ አይሆንም ዶ/ር መረራ ጉዲና ።,Transitional government is not the solution Dr. Merra Gudina.,ዶ/ር መረራ ጉዲና በወቅታዊ የኢትዮጵያ ጉዳይ ።,Dr. Merra Gudina on current Ethiopian affairs.,0.52
Pair_ID_amh_train_77,እዚህ ጀርመን ሀገር በስደት መጥቶ መኖር ከጀመረ 7 ዓመታት ተቆጥሯል ።,It has been 7 years since he immigrated to Germany.,ጀርመን ሀገር መኖር ከጀመረ ስምንት ዓመታትን አስቆጥሯል ።,Germany has been in existence for eight years.,0.75
Pair_ID_amh_train_78,አዲሱ አመት ኢትዮጵያውያን ከእንቅልፍ የሚነቁበት አመት ይሁን ?,Will the new year be the year Ethiopians wake up?,የሰው ልጆች ለይሖዋ ክብር መስጠት ያለባቸው ለምንድን ነው ?,Why should humans give honor to Jehovah?,0.2
Pair_ID_amh_train_79,መማር ማለት ምን ማለት ነው ?,What does learning mean?,በምኞት ውስጥ መሬት ላይ መኖር ምን ማለት ምን ማለት ነው ፤ ።,What does it mean to live on the ground in a wish; .,0.31
Pair_ID_amh_train_80,"ባለፋት 24 ሰዓታት የ9 ሰዎች ሕይወት አልፏል ፤አጠቃላይ የሟቾች ቁጥርን 1,994 አድርሶታል ።","9 people died in the last 24 hours, bringing the total death toll to 1,994.",ባለፋት 24 ሰዓታት የ6 ሰዎች ሕይወት አልፏል ፤አጠቃላይ የሟቾች ቁጥርን 1214 አድርሶታል ።,"Six people died in the last 24 hours, bringing the total death toll to 1214.",0.75
Pair_ID_amh_train_81,የአማራ ክልል ፕሬዝዳንት ገዱ አንዳርጋቸው ከሰማያዊ ፓርቲ መሪዎች ጋር ዛሬ በባህርዳር ተወያይተዋል ።,"The president of Amhara region, Gedu Andargacheh, had a discussion with the leaders of the Blue Party today in Bahadar.",“ እንዴት ይህን ትልቅ ክፉ ነገር አደርጋለሁ ?,“How can I do this great evil?,0.16
Pair_ID_amh_train_82,ተልኮዋን ለማሳካት 5 ደቂቃዎች ብቻ ናቸው የቀሯት ።,She has only 5 minutes left to complete her mission.,ተልኮዋን ለማሳካት 5 ደቂቃዎች ብቻ ናቸው የሚቀሯት ።,She has only 5 minutes left to complete her mission.,0.88
Pair_ID_amh_train_83,አስቸኳይ በመተከል ዞን ስር በምትገኘው ማንዱራ ወረዳ ጅግዳ ቀበሌ ነዋሪዎች በአራጆች ተከበዋል ።,"Residents of Jigda Kebele in Mandurah district, which is under the urgent planting zone, are surrounded by rioters.",በመተከል ዞን ማንዱራ ወረዳ ማንቡክ ቀበሌ ከፍተኛ ተኩስ እየተሰማ ነው ተባለ ።,"It is said that heavy gunfire is being heard in Manbuk Kebele, Mandurah District, Planting Zone.",0.66
Pair_ID_amh_train_84,የፊፋ ወርሃዊ ደረጃ- በዓለም 18 በአፍሪካ 1 ።,FIFA monthly ranking - 18 in the world and 1 in Africa.,የፊፋ ወርሃዊ ደረጃ- በዓለም 24 በአፍሪካ 2 ።,"FIFA monthly ranking - 24 in the world, 2 in Africa.",0.66
Pair_ID_amh_train_85,ይህ ከአንድ ዓመት ተኩል በፊት የሚቻል አልነበረም ።,This was not possible a year and a half ago.,አወዳድሮ ለመጀመሪያ ጊዜ ሴት ምክትል ፕሬዝዳንት የሾመውም ከአንድ ዓመት ተኩል በፊት ነው ።,He appointed a female vice president for the first time a year and a half ago.,0.44
Pair_ID_amh_train_86,አዲሱ ጀርመን የስደተኞች ሕግ ።,The new German immigration law.,አዲሱ የጀርመን የስደተኞች ሕግ ።,Germany's new immigration law.,0.95
